region,type,link
4553,0,http://www.cian.ru/sale/commercial/151524952/
4553,1,http://www.cian.ru/sale/commercial/149933741/
4553,1,http://www.cian.ru/sale/commercial/8978344/
4553,1,http://www.cian.ru/sale/commercial/137706853/
4553,1,http://www.cian.ru/sale/commercial/14364571/
4553,1,http://www.cian.ru/sale/commercial/14319919/
4553,1,http://www.cian.ru/sale/commercial/14544978/
4553,1,http://www.cian.ru/sale/commercial/142957086/
4553,1,http://www.cian.ru/sale/commercial/151397246/
4553,2,http://www.cian.ru/sale/commercial/149288598/
4553,2,http://www.cian.ru/sale/commercial/150090000/
4553,2,http://www.cian.ru/sale/commercial/149306478/
4553,2,http://www.cian.ru/sale/commercial/149695241/
4553,2,http://www.cian.ru/sale/commercial/149694879/
4553,2,http://www.cian.ru/sale/commercial/14395590/
4553,2,http://www.cian.ru/sale/commercial/137708404/
4553,2,http://www.cian.ru/sale/commercial/150299269/
4553,3,http://www.cian.ru/sale/commercial/14046569/
4553,4,http://www.cian.ru/sale/commercial/151396692/
4553,4,http://www.cian.ru/sale/commercial/151395283/
4553,4,http://www.cian.ru/sale/commercial/149391285/
4553,4,http://www.cian.ru/sale/commercial/151398593/
4553,4,http://www.cian.ru/sale/commercial/12379764/
4553,4,http://www.cian.ru/sale/commercial/5711140/
4553,4,http://www.cian.ru/sale/commercial/151396206/
4553,4,http://www.cian.ru/sale/commercial/151397885/
4553,4,http://www.cian.ru/sale/commercial/151395826/
4553,0,http://www.cian.ru/sale/commercial/13973069/
4553,0,http://www.cian.ru/sale/commercial/14031534/
4553,0,http://www.cian.ru/sale/commercial/151524952/
4553,1,http://www.cian.ru/sale/commercial/149933741/
4553,1,http://www.cian.ru/sale/commercial/8978344/
4553,1,http://www.cian.ru/sale/commercial/137706853/
4553,1,http://www.cian.ru/sale/commercial/14364571/
4553,1,http://www.cian.ru/sale/commercial/14319919/
4553,1,http://www.cian.ru/sale/commercial/14544978/
4553,1,http://www.cian.ru/sale/commercial/142957086/
4553,1,http://www.cian.ru/sale/commercial/151397246/
4553,2,http://www.cian.ru/sale/commercial/149288598/
4553,2,http://www.cian.ru/sale/commercial/150090000/
4553,2,http://www.cian.ru/sale/commercial/149306478/
4553,2,http://www.cian.ru/sale/commercial/149695241/
4553,2,http://www.cian.ru/sale/commercial/149694879/
4553,2,http://www.cian.ru/sale/commercial/14395590/
4553,2,http://www.cian.ru/sale/commercial/137708404/
4553,2,http://www.cian.ru/sale/commercial/150299269/
4553,3,http://www.cian.ru/sale/commercial/14046569/
4553,4,http://www.cian.ru/sale/commercial/151396692/
4553,4,http://www.cian.ru/sale/commercial/151395283/
4553,4,http://www.cian.ru/sale/commercial/149391285/
4553,4,http://www.cian.ru/sale/commercial/151398593/
4553,4,http://www.cian.ru/sale/commercial/12379764/
4553,4,http://www.cian.ru/sale/commercial/5711140/
4553,4,http://www.cian.ru/sale/commercial/151396206/
4553,4,http://www.cian.ru/sale/commercial/151397885/
4553,4,http://www.cian.ru/sale/commercial/151395826/
4553,0,http://www.cian.ru/sale/commercial/13973069/
4553,0,http://www.cian.ru/sale/commercial/14031534/
4553,0,http://www.cian.ru/sale/commercial/151524952/
4553,1,http://www.cian.ru/sale/commercial/149933741/
4553,1,http://www.cian.ru/sale/commercial/8978344/
4553,1,http://www.cian.ru/sale/commercial/137706853/
4553,1,http://www.cian.ru/sale/commercial/14364571/
4553,1,http://www.cian.ru/sale/commercial/14319919/
4553,1,http://www.cian.ru/sale/commercial/14544978/
4553,1,http://www.cian.ru/sale/commercial/142957086/
4553,1,http://www.cian.ru/sale/commercial/151397246/
4553,2,http://www.cian.ru/sale/commercial/149288598/
4553,2,http://www.cian.ru/sale/commercial/150090000/
4553,2,http://www.cian.ru/sale/commercial/149306478/
4553,2,http://www.cian.ru/sale/commercial/149695241/
4553,2,http://www.cian.ru/sale/commercial/149694879/
4553,2,http://www.cian.ru/sale/commercial/14395590/
4553,2,http://www.cian.ru/sale/commercial/137708404/
4553,2,http://www.cian.ru/sale/commercial/150299269/
4553,3,http://www.cian.ru/sale/commercial/14046569/
4553,4,http://www.cian.ru/sale/commercial/151396692/
4553,4,http://www.cian.ru/sale/commercial/151395283/
4553,4,http://www.cian.ru/sale/commercial/149391285/
4553,4,http://www.cian.ru/sale/commercial/151398593/
4553,4,http://www.cian.ru/sale/commercial/12379764/
4553,4,http://www.cian.ru/sale/commercial/5711140/
4553,4,http://www.cian.ru/sale/commercial/151396206/
4553,4,http://www.cian.ru/sale/commercial/151397885/
4553,4,http://www.cian.ru/sale/commercial/151395826/
4553,0,http://www.cian.ru/sale/commercial/13973069/
